key,source,target
windows.wndtradeitem.sell_all,Sell all for %dg,全部卖出以获得%d金币
windows.wndupgrade.title,Upgrade an Item,升级一件物品
windows.wndupgrade.desc,Upgrading an item permanently improves it:,升级这件物品会永久提升其如下属性：
windows.wndupgrade.remaining,You have _%d_ upgrade items left.,你还剩有_%d个_升级用物品。
windows.wndupgrade.unided,"You don't know the properties of this item, its un-upgraded state is shown here.",你并不知道这件物品的属性，此处显示的是其未被升级的状态。
windows.wndupgrade.unknown_ring,"You don't know what this ring's effect is, and so have no idea what upgrading it will do.",你并不知道这枚戒指的效果，因此无从得知升级对其有何作用。
windows.wndupgrade.cursed,Upgrading this item also has a 33% chance to cleanse its curse.,升级这件物品还有33%的概率净化其诅咒。
windows.wndupgrade.cursed_weaken,"Upgrading this item will also weaken its curse, and has a 33% chance to cleanse it entirely.",升级这件物品不仅会弱化其诅咒，还有33%的概率完全净化其诅咒。
windows.wndupgrade.curse_infusion,"If the curse is cleansed, the item will no longer benefit from curse infusion!",如果诅咒被净化，这件物品将会不再带有诅咒菱晶的升级效果！
windows.wndupgrade.enchant,Upgrading this item also has a %d%% chance to destroy its enchantment!,升级这件物品还有%d%%的概率消除其附魔！
windows.wndupgrade.glyph,Upgrading this item also has a %d%% chance to destroy its glyph!,升级这件物品还有%d%%的概率消除其刻印！
windows.wndupgrade.harden,Upgrading this item also has a %d%% chance to break its hardening!,升级这件物品还有%d%%的概率消除其硬化！
windows.wndupgrade.resin,"This wand has been enhanced with arcane resin, normal upgrades will override resin upgrades!",这根法杖已被奥术树脂强化，一般的升级效果将会覆盖树脂的升级效果！
windows.wndupgrade.thrown_dust,Weapons from this set that aren't in your inventory will crumble to dust.,这组武器不在你背包的部分将化为尘土。
windows.wndupgrade.damage,Damage,伤害
windows.wndupgrade.dart_damage,Dart Damage,飞镖伤害
windows.wndupgrade.bleeding,Bleeding,流血
windows.wndupgrade.blocking,Blocking,防御
windows.wndupgrade.weight,Weight,重量
windows.wndupgrade.durability,Durability,耐久度
windows.wndupgrade.quantity,Quantity,数量
windows.wndupgrade.zap_damage,Zap Damage,魔法伤害
windows.wndupgrade.corrosion_damage,Corrosion Damage,酸蚀伤害
windows.wndupgrade.ward_damage,Ward Damage,哨卫伤害
windows.wndupgrade.charges,Max Charges,充能上限
windows.wndupgrade.ring_boost,Ring Boost,戒指加成
windows.wndupgrade.upgrade,Upgrade,升级
windows.wndupgrade.back,Back,返回
windows.wndvictorycongrats.title,Victory!,获胜！
windows.wndvictorycongrats.start_text,Congratulations on conquering the dungeon! You've unlocked some new features that are available when choosing a hero:,恭喜您征服了这座地牢！新的游戏选项已经解锁，你可以在选择英雄时查看并设置：
windows.wndvictorycongrats.challenges,You can now enable _challenges!_ These are optional modifiers to make the game more difficult in a variety of ways.,您现在可以开启_挑战_功能了！挑战是一类通过各种方式为游戏增添难度的设置选项。
windows.wndvictorycongrats.custom_seeds,You can now enter _custom seeds!_ The same seed and game version always produce the same dungeon.,您现在可以使用_自定义种子_进行游戏了！在版本不变的情况下，使用同一个种子将总是生成相同的地牢。
windows.wndvictorycongrats.dailies,You can now participate in _daily runs!_ Every day there's a new daily run that's the same for every player!,您现在可以参与_每日挑战_了！每天都有一场新游戏，对每个人都是一样的！
windows.wndvictorycongrats.thank_you,Thank you so much for playing Shattered Pixel Dungeon!,万分感谢您能游玩破碎的像素地牢！
windows.wndvictorycongrats.support_prompt,"If you haven't already, _please consider supporting the game._ Support from dedicated players lets the developer continue improving the game!",_请考虑赞助这款游戏_，如果您还没有的话。忠实玩家的支持能让开发者不断对游戏进行打磨！
windows.wndvictorycongrats.support,Support,赞助
windows.wndvictorycongrats.close,Close,关闭
windows.wndwandmaker.dust,"Oh, I see you have the dust! Don't worry about the wraiths, I can deal with them. As I promised, you can choose one of my high quality wands.",哦，我注意到你已经获得了尸尘！别担心那些怨灵，我能解决它们。就像我承诺的，你可以选择我制作的一根高品质法杖。
windows.wndwandmaker.ember,"Oh, I see you have the embers! I do hope the fire elemental wasn't too much trouble. As I promised, you can choose one of my high quality wands.",哦，我注意到你已经获得了余烬！希望那个火焰元素没有造成太多麻烦。就像我承诺的，你可以选择我制作的一根高品质法杖。
windows.wndwandmaker.berry,"Oh, I see you have the berry! I do hope the rotberry plant didn't trouble you too much. As I promised, you can choose one of my high quality wands.",哦，我注意到你已经获得了腐莓！希望那株植物没有对你造成太多困扰。就像我承诺的，你可以选择我制作的一根高品质法杖。
windows.wndwandmaker.farewell,"Good luck in your quest, %s!",祝你在试炼中好运，%s！
