﻿items.armor.curses.antientropy.name,%s of anti-entropy,反熵%s
items.food.pasty.sparkling_desc,"This sparkling potion is a kind of liquid food. It satisfies hunger and simulates sparkling wine, but isn't actually alcoholic. The warm feeling in your belly will grant a little bit of shielding.\n\nHappy New Year!","这瓶起泡的药剂是一种液态食物。这种果腹之物尝起来和气泡酒别无二致，但实际上并不含酒精。这股流经腹部的暖流能为你提供少量护盾。\n\n元旦快乐！"
items.food.pasty$fishleftover.name,fish leftovers,余鱼
items.food.pasty$fishleftover.eat_msg,That food tasted ok.,吃起来还行。
items.food.pasty$fishleftover.desc,Some surplus fish from your previous meal. You can eat it any time you like to restore a little hunger.,你上一顿吃剩的鱼。你可以随时把它吃完，这能恢复你少量的饱食度。
items.food.smallration.name,small food ration,小包口粮
items.food.smallration.eat_msg,That food tasted ok.,吃起来还行。
items.food.smallration.desc,It looks exactly like a standard ration of food but smaller.,它看起来和普通口粮一样，就是小了点。
items.food.stewedmeat.name,stewed meat,炖肉
items.food.stewedmeat.eat_msg,That food tasted ok.,吃起来还行。
items.food.stewedmeat.desc,Stewing the meat has cleansed it of any disease or parasites. It should be safe to eat.,烹煮的过程中杀死了肉上面可能携带的任何病菌或是寄生虫。现在应该可以安全的食用它了。
items.food.supplyration.name,supply ration,备用口粮
items.food.supplyration.desc,"This ration was left in the dungeon by and for members of the thieves guild. It's specifically designed to be eaten on the go, and aid with general skullduggery.\n\nWhile it doesn't fill you up as much as a regular ration, it can be eaten quickly, provides a little direct healing, and will restore a charge to the Rogue's cloak of shadows.","这是一包由盗贼公会存放，供其成员取用的口粮。这包口粮专门被设计成可快速食用的样式，并且能为成员的隐秘行动提供诸多帮助。\n\n尽管不能像正常口粮一样填饱你，它却能被快速食用，恢复少量生命，并且回复盗贼的暗影斗篷一点神器充能。"
items.journal.documentpage.name,torn page,被撕下的书页
items.journal.documentpage.desc,"A lone page, probably torn from a book of some sort. You'll need to pick it up to read it.",一张被遗弃的书页，似乎是从一本书上撕下来的。你需要捡起它才能阅读上面的内容。
items.journal.alchemypage.name,torn alchemy book page,被撕下的炼金指南书页
items.journal.alchemypage.desc,"A torn page from a guidebook on alchemy.\n\nMost of the text is too small to read at a distance, but you can make out the title of the page:\n\n_""%s""_","从一本炼金指南书上撕下来的一页。\n\n在远处你只能看到一行行密密麻麻的小字，不过你仍然可以看清书页上的标题\n\n_""%s""_"
items.journal.guidebook.name,tome of dungeon mastery,地牢探索指南
items.journal.guidebook.hint_mobile,Your guidebook has advice for you! Tap the blinking journal button to read it.,你的指南有新的建议要告诉你！点击闪烁的日志按钮进行阅读。
items.journal.guidebook.hint_desktop,Your guidebook has advice for you! Select the blinking journal button (%s) to read it.,你的指南有新的建议要告诉你！选择闪烁的日志按钮(%s)进行阅读。
items.journal.guidebook.hint_status,Guidebook,指南
items.journal.guidebook.desc,"An adventurer's guidebook, left here by someone who decided adventuring wasn't for them! This particular book is magical, and can prompt adventurers to read a page at the right moment.\n\nDespite that functionality, the book is most popular because of the big words ""Don't Panic!"" written in large friendly letters on the cover.","一本静静躺在地上的地牢探索指南，不知被谁遗弃在此。看来冒险不是很适合它的旧主人！\n\n这本精致而独特的书附有魔法，会在需要的时候主动提醒冒险家去翻阅它。\n\n除去强大的功能，这本书走红的原因还有一点：它的封面上用友好而亲切的大字写着“不 要 恐 慌 ！”"
items.journal.guidepage.name,torn guidebook page,被撕下的指南书页
items.journal.guidepage.desc,"A torn page from an adventuring guidebook.\n\nMost of the text is too small to read at a distance, but you can make out the title of the page:\n\n_""%s""_","从一本冒险指南书上撕下来的一页。\n\n在远处你只能看见一行行密密麻麻的小字，不过你可以看清书页上的标题：\n\n_""%s""_"
items.journal.regionlorepage$sewers.name,worn letter,磨旧的信笺
items.journal.regionlorepage$sewers.desc,"What looks to be a letter, written on a dirt-stained piece of paper. You'll need to pick it up to be able to make out what's written on it.",看起来像是一封信，写在一张沾满灰尘的纸上。你需要把它捡起来才能看清上面写着什么。
items.journal.regionlorepage$prison.name,worn journal entry,磨损的日志条目
items.journal.regionlorepage$prison.desc,"A journal entry, or some other kind of record, written on an old piece of paper. It seems to have fared better than the letters you found in the sewers, but you'll still need to pick it up to read it.",写在老旧纸张上的日记条目或其他记录。这似乎比你在下水道里找到的信看起来好一些，但你仍然需要捡起它才能阅读上面的内容。
items.journal.regionlorepage$caves.name,old log entry,老旧的日志条目
items.journal.regionlorepage$caves.desc,"What looks to be an entry in an explorer's logbook, preserved surprisingly well despite how old it must be. Pick it up to read it.",看起来是探险家日志中的一个条目，尽管它肯定很旧，但保存得出奇得好。捡起它来阅读上面的内容。
items.journal.regionlorepage$city.name,rusted tablet,锈蚀的便签
items.journal.regionlorepage$city.desc,"A small rusted metal tablet with a message magically etched into it. The letters are still clear despite the tablet's age, but you'll have to pick it up to read it.",一块生锈的小金属板，上面神奇地刻着一条信息。尽管它年代久远，可字母仍然清晰，但你必须捡起它才能阅读上面的内容。
items.journal.regionlorepage$halls.name,glowing tablet,发光的便签
items.journal.regionlorepage$halls.desc,"A small black tablet with glowing green letters etched into it. The glowing letters blur together into a haze at a distance, you'll have to pick it up to read it.",一块黑色的小板，上面刻有发光的绿色字母。发光的字母在远处模糊成一团薄雾，你必须捡起它才能阅读上面的内容。
items.keys.goldenkey.name,golden key,金钥匙
items.keys.goldenkey.desc,The notches on this golden key are tiny and intricate. Perhaps it will open a locked chest?,这把黄金钥匙的齿纹精妙而复杂。或许可以用它来打开某个上锁的宝箱？
items.keys.crystalkey.name,Crystal key,水晶钥匙
items.keys.crystalkey.desc,The cut surfaces of this crystalline key shimmer in the darkness. Perhaps it will open something made of crystal?,这把水晶钥匙在黑暗中反射着光芒。或许可以用它来打开某样水晶制品？
items.keys.ironkey.name,iron key,铁钥匙
items.keys.ironkey.desc,The notches on this ancient iron key are well worn; its leather lanyard is battered by age. What door might it open?,这个铁钥匙的匙齿已经严重磨损；皮制系带也久经年岁摧残。它对应的是哪扇门呢?
items.keys.skeletonkey.name,skeleton key,骷髅钥匙
items.keys.skeletonkey.desc,This key looks serious: its head is shaped like a skull. Probably it can open some serious door.,这个钥匙看起来不能等闲视之：其顶端被制成头骨的形状。或许它能打开什么不得了的大门。
items.potions.potion.ac_drink,DRINK,饮用
items.potions.potion.turquoise,turquoise potion,青绿药剂
items.potions.potion.crimson,crimson potion,猩红药剂
items.potions.potion.azure,azure potion,湛蓝药剂
items.potions.potion.jade,jade potion,碧绿药剂
items.potions.potion.golden,golden potion,金黄药剂
items.potions.potion.magenta,magenta potion,品红药剂
items.potions.potion.charcoal,charcoal potion,煤黑药剂
items.potions.potion.ivory,ivory potion,乳白药剂
items.potions.potion.amber,amber potion,琥珀药剂
items.potions.potion.bistre,bistre potion,深褐药剂
items.potions.potion.indigo,indigo potion,靛紫药剂
items.potions.potion.silver,silver potion,银灰药剂
items.potions.potion.unknown_desc,This flask contains a swirling colorful liquid. Who knows what it will do when drunk or thrown?,瓶子里装着些不断打旋的彩色液体。谁知道饮用或投掷它时会有什么效果呢？
items.potions.potion.harmful,Harmful potion!,有害药剂！
items.potions.potion.beneficial,Beneficial potion,有益药剂
items.potions.potion.yes,"Yes, I know what I'm doing",是的，我知道我在做什么
items.potions.potion.no,"No, I changed my mind",不，我改变主意了
items.potions.potion.sure_drink,Are you sure you want to drink it? In most cases you should throw such potions at your enemies.,你确定要饮用它吗？大多数情况下你该把它扔向敌人的。
items.potions.potion.sure_throw,Are you sure you want to throw it? In most cases it makes sense to drink it.,你确定要投掷它吗？大多数情况下把它喝下去会更有用。
items.potions.potion.shatter,The flask shatters and the liquid splashes harmlessly.,药瓶碎裂开，溅出了无害的液体。
items.potions.potion$placeholder.name,potion,药剂
items.potions.potion$seedtopotion.name,Random Potion,随机药剂
items.potions.potionofexperience.name,potion of experience,经验药剂
items.potions.potionofexperience.desc,"The storied experiences of multitudes of battles reduced to liquid form, this draught will instantly raise your experience level.",众多战斗积累而来的经验被浓缩为液态，这种药剂能够瞬间提升你的等级。
items.potions.potionoffrost.name,potion of frost,冰霜药剂
items.potions.potionoffrost.desc,The chemical contained in this potion will evaporate into a freezing cloud upon exposure to open air.,一旦暴露在空气里，这种化学药剂会挥发成为一片冰冷的气雾。
items.potions.potionofhaste.name,potion of haste,极速药剂
items.potions.potionofhaste.energetic,You feel energetic!,你感觉充满了活力！
items.potions.potionofhaste.desc,"Drinking this oddly sweet liquid will imbue you with tremendous energy for a short time, allowing you to run at high speeds.",喝下这甜到掉牙的奇怪液体后，体内会爆发一股巨大的能量，让你可以短时间内飞速奔跑。
items.potions.potionofhealing.name,potion of healing,治疗药剂
items.potions.potionofhealing.heal,Your wounds begin to close.,你的伤口开始愈合。
items.potions.potionofhealing.desc,This elixir will rapidly restore your health and instantly cure many ailments.,一支让你快速回满生命值并清除毒素的万能药剂。
items.potions.potionofinvisibility.name,potion of invisibility,隐形药剂
items.potions.potionofinvisibility.invisible,You see your hands turn invisible!,你看到你的手隐形了！
items.potions.potionofinvisibility.desc,"Drinking this potion will render you temporarily invisible. While invisible, enemies will be unable to see you. Physical attacks and magical effects (such as scrolls and wands) will immediately cancel invisibility.",饮用这种药剂会使你暂时隐形。隐形期间，敌人将无法看见你。使用物理攻击或魔法效果(例如使用卷轴或法杖)，会立即解除隐形效果。
items.potions.potionoflevitation.name,potion of levitation,浮空药剂
items.potions.potionoflevitation.float,You float into the air!,你漂浮到了空中！
items.potions.potionoflevitation.desc,"Drinking this curious liquid will cause you to hover in the air, able to drift effortlessly over traps and pits. Throwing this potion will create a cloud of unrefined gas, disorienting anything caught in it.",饮用这种古怪的药剂能让你漂浮到空中，从而轻易地越过陷阱和深渊。扔出它会产生一片未被提纯的气体云雾，让其中的所有生物迷失方向。
items.potions.potionofliquidflame.name,potion of liquid flame,液火药剂
items.potions.potionofliquidflame.desc,This flask contains an unstable compound which will burst violently into flame upon exposure to open air.,该药瓶里装着一种不稳定的化合物，一旦暴露在空气中就会猛烈地燃烧起来。
items.potions.potionofmindvision.name,potion of mind vision,灵视药剂
items.potions.potionofmindvision.see_mobs,You can somehow feel the presence of other creatures' minds!,你可以感受到其他生物的存在！
items.potions.potionofmindvision.see_none,You can somehow tell that you are alone on this level at the moment.,你能判定现在本层内就只有你一个人。
items.potions.potionofmindvision.desc,"After drinking this, your mind will become attuned to the psychic signature of distant creatures, enabling you to sense biological presences through walls. Also this potion will permit you to see through nearby walls and doors.",喝下这个，你的心智将与大范围内的生物精神同调，让你能感受到围墙背后的生体所在。该药剂还能够让你的视野无视身边门墙的阻挡。
items.potions.potionofparalyticgas.name,potion of paralytic gas,麻痹药剂
items.potions.potionofparalyticgas.desc,"Upon exposure to open air, the liquid in this flask will vaporize into a numbing yellow haze. Anyone who inhales the cloud will be paralyzed instantly, unable to move for some time after the cloud dissipates. This item can be thrown at distant enemies to catch them within the effect of the gas.",暴露于空气时，烧瓶里的液体会气化成一片令人失去知觉的黄色云雾。任何吸入气体的生物都可能立即麻痹，直到气体消散后一段时间才能行动。可以把该物件扔到远处的敌群中，让气体覆盖影响它们。
items.potions.potionofpurity.name,potion of purity,净化药剂
items.potions.potionofpurity.freshness,You feel uncommon freshness in the air.,你闻到了空气中不寻常的清新气息。
items.potions.potionofpurity.protected,A protective film envelops you!,你被一层薄薄的魔法屏障包裹住了！
items.potions.potionofpurity.desc,This magical reagent will quickly neutralize all harmful area-bound effects in a large area. Drinking it will give you temporary immunity to such effects.,这种魔法试剂能迅速中和掉大范围内的各种有害环境。饮用它将使你暂时免疫这种环境。
items.potions.potionofstrength.name,potion of strength,力量药剂
items.potions.potionofstrength.msg,"Newfound strength surges through your body, you now have %d strength!",新生的力量在你体内喷薄而出，你现在拥有%d点力量！
items.potions.potionofstrength.desc,"This powerful liquid will course through your muscles, permanently increasing your strength by one point.",这种强力的液体会洗刷你的肌肉，永久性增加1点力量值。
items.potions.potionoftoxicgas.name,potion of toxic gas,毒气药剂
items.potions.potionoftoxicgas.desc,Uncorking or shattering this pressurized glass will cause its contents to explode into a deadly cloud of toxic green gas. You might choose to fling this potion at distant enemies instead of uncorking it by hand.,打开或摔碎这个密封的药瓶将导致内容物爆发成一团剧毒的绿色云雾。你应该选择从远处将这瓶药剂扔向敌人，而不是手动开封。
items.potions.brews.aquabrew.name,aqua brew,水爆魔药
items.potions.brews.aquabrew.desc,"When shattered, this brew will release a burst of pressurized water at its location. It's only forceful enough to damage fiery enemies, but it also spreads water to nearby terrain, douses fires, and knocks back characters near the burst.",当瓶子破裂时，这瓶魔药会在目标处迸射出大量的水流。水流并没有那么强劲，只能对火属性敌人造成伤害，但是魔药的水流会散布至周遭，熄灭火焰并击退水源附近的角色。
items.potions.brews.blizzardbrew.name,blizzard brew,冰暴魔药
items.potions.brews.blizzardbrew.desc,"When shattered, this brew will unleash a swirling blizzard which quickly spreads like a gas.",当瓶子破裂时，这瓶魔药会释放出一阵像气体一样扩散的旋流冰暴。
items.potions.brews.causticbrew.name,caustic brew,淤泥魔药
items.potions.brews.causticbrew.desc,This brew will spread corrosive ooze in a wide area around the location it shatters in. Anything caught by the ooze will slowly melt if it can't wash it off in water.,这瓶魔药在打碎时会大范围地溅出腐蚀淤泥。被腐蚀淤泥影响的单位将会缓慢融化，除非他们能及时在水中冲洗掉淤泥。
items.potions.brews.infernalbrew.name,infernal brew,炼狱魔药
items.potions.brews.infernalbrew.desc,"When shattered, this brew will unleash a raging inferno which quickly spreads like a gas.",当瓶子破裂时，这瓶魔药会释放出一阵像气体一样扩散的狂暴炼狱。
items.potions.brews.shockingbrew.name,shocking brew,雷鸣魔药
items.potions.brews.shockingbrew.desc,"When shattered, this brew will unleash an electrical storm in a wide area around the location it breaks at.",当瓶子破裂时，这瓶魔药会向周围释放一阵闪电风暴。
items.potions.brews.unstablebrew.name,unstable brew,紊乱魔药
items.potions.brews.unstablebrew.desc,"This magical brew glows with shifting colors of the rainbow.\n\nWhen drank or thrown it will trigger the effect of a random potion. The potion effect will always be beneficial if it is drank, and will always be harmful if it is thrown.","这瓶充满魔力的魔药闪耀着霓虹般的流光溢彩。\n\n饮用这瓶魔药会使你随机获得一个有益药剂效果;而将其投掷出去则会随机释放一个有害药剂效果。"
items.potions.elixirs.elixirofarcanearmor.name,elixir of arcane armor,抗魔秘药
items.potions.elixirs.elixirofarcanearmor.desc,This elixir will grant the drinker a long lasting resistance to magical damage.,这瓶秘药会赋予饮用者持续时间很长的魔法抗性。
items.potions.elixirs.elixirofaquaticrejuvenation.name,elixir of aquatic rejuvenation,水灵秘药
items.potions.elixirs.elixirofaquaticrejuvenation.desc,"This elixir contains the remains of Goo enhanced with a healing potion. While it will not provide immediate healing, it will steadily restore a greater amount of health while you are standing in water.",这瓶秘药中包含着被粘咕力量强化的治疗液体。它不会为你提供立即的治疗效果，而会当你站在水中时逐渐为你恢复总量更大的生命值。
items.potions.elixirs.elixirofaquaticrejuvenation$aquahealing.name,aquatic healing,水灵治疗
items.potions.elixirs.elixirofaquaticrejuvenation$aquahealing.desc,"You have temporarily gained restorative properties similar to that of Goo.\n\nWhile standing in water, you will recover a small amount of health per turn. The effect is paused when you are at full health or are out of water.\n\nHealing left: %d.","你暂时获得了如同粘咕一样的恢复能力。\n\n当站在水面上时，你每回合都能够恢复少量生命值。生命值全满或离开水面时会暂停该效果。\n\n剩余的恢复量：%d"
items.potions.elixirs.elixirofdragonsblood.name,elixir of dragon's blood,龙血秘药
items.potions.elixirs.elixirofdragonsblood.desc,"When consumed, this elixir will send fiery power coursing through the drinker's veins. This effect will make the drinker immune to fire, and allow them to set enemies aflame with physical attacks.",饮用后，这瓶秘药会使饮用者的血管里充斥着烈焰的力量。这个效果能让引用者对火焰完全免疫，并且还能通过物理攻击点燃敌人。
items.potions.elixirs.elixiroffeatherfall.name,elixir of feather fall,羽落秘药
items.potions.elixirs.elixiroffeatherfall.light,You feel light as a feather!,你觉得自己身轻如燕！
items.potions.elixirs.elixiroffeatherfall.desc,"This elixir offers a weaker but more controlled levitation effect, allowing the drinker to fall great distances without harm for a little while.",这瓶秘药可为你提供更弱但更可控的悬浮效果，在短时间内使你身轻如燕，即便跳下悬崖深渊也能毫发无损。饮用这瓶秘药可以为你提供短时间内免除坠落伤害的效果。
items.potions.elixirs.elixiroffeatherfall$featherbuff.name,feather fall,羽落
items.potions.elixirs.elixiroffeatherfall$featherbuff.desc,"You are under the effects of a feather fall elixir, allowing you to fall into chasms without taking damage!\n\nTurns remaining: %s.","你正处于羽落秘药的作用效果之下，可以跳进深渊并坠落至下一层而不受到任何伤害！\n\n效果剩余时长：%s回合"
items.potions.elixirs.elixirofhoneyedhealing.name,elixir of honeyed healing,圣愈蜜药
items.potions.elixirs.elixirofhoneyedhealing.desc,"This elixir combines healing with the sweetness of honey. When drank, it will apply the same effect as a potion of healing and satisfy a small amount of hunger, but it can also be thrown to heal an ally.\n\nCreatures with an affinity for honey might be pacified if this item is used on them.","这瓶秘药不仅有着治愈效果，还混杂了蜂蜜的甜香。饮用后，它会触发与治疗药剂一样的效果并回复少量饥饿，它也能被丢出去用来治疗盟友。\n\n对喜爱蜂蜜的生物使用此物也可能安抚住它们。"
items.potions.elixirs.elixiroficytouch.name,elixir of icy touch,晶触秘药
items.potions.elixirs.elixiroficytouch.desc,"When consumed, this elixir will allow the drinker to sap the heat from enemies they attack. This effect will make the drinker immune to the cold, and allow them to chill enemies with physical attacks.",饮用后，这瓶秘药会使饮用者获得从敌人身上抽取热量的能力。这样的效果让使用者能够在药效持续期间免疫冻伤，同时他的物理攻击也能对敌人造成冻伤效果。
items.potions.elixirs.elixirofmight.name,elixir of might,根骨秘药
items.potions.elixirs.elixirofmight.msg,"Newfound strength surges through your body, you now have %d strength!",新生的力量在你体内喷薄而出，你现在拥有%d点力量！
items.potions.elixirs.elixirofmight.desc,"This powerful liquid will course through your muscles, permanently increasing your strength by one point and temporarily increasing maximum health by %d points. The health boost scales with your maximum health, but will slowly wear off as you gain levels.",这种强力的液体会冲刷你的根骨，永久性增加1点力量值并在一段时间内增加%d点生命上限。增强的生命上限值取决于你当前的最大生命值，不过增强值会随着等级提升而逐渐消失。
items.potions.elixirs.elixirofmight$htboost.name,max health boost,生命强化
items.potions.elixirs.elixirofmight$htboost.desc,"Your body feels unnaturally strong and healthy.\n\nYour maximum health is boosted for an extended period of time. As you gain levels, the boost will steadily fade.\n\nCurrent boost amount: %d.\nLevels remaining: %d.","你觉得自己不同寻常的强壮与健康。\n\n你的最大生命在一段时间内会有所提升。生命提升会随着你的升级缓慢而稳定地消失。\n\n当前生命提升量：%d\n剩余生效等级：%d"
items.potions.elixirs.elixiroftoxicessence.name,elixir of toxic essence,毒粹秘药
items.potions.elixirs.elixiroftoxicessence.desc,"When consumed, this elixir will imbue the drinker with toxic energy. The drinker will continuously spread toxic gas as they move, and will be immune to toxic gas and poison for slightly longer than the duration of the effect.",这瓶秘药能够向使用者注入强大的毒素之力，饮用者在持续时间内将会在周身不断释放出致命的毒雾，此外还会在更长的一段时间内免疫毒气和毒素。
items.potions.exotic.exoticpotion.turquoise,exotic turquoise potion,青绿合剂
items.potions.exotic.exoticpotion.crimson,exotic crimson potion,猩红合剂
items.potions.exotic.exoticpotion.azure,exotic azure potion,湛蓝合剂
items.potions.exotic.exoticpotion.jade,exotic jade potion,碧绿合剂
items.potions.exotic.exoticpotion.golden,exotic golden potion,金黄合剂
items.potions.exotic.exoticpotion.magenta,exotic magenta potion,品红合剂
items.potions.exotic.exoticpotion.charcoal,exotic charcoal potion,煤黑合剂
items.potions.exotic.exoticpotion.ivory,exotic ivory potion,乳白合剂
items.potions.exotic.exoticpotion.amber,exotic amber potion,琥珀合剂
items.potions.exotic.exoticpotion.bistre,exotic bistre potion,深褐合剂
items.potions.exotic.exoticpotion.indigo,exotic indigo potion,靛紫合剂
items.potions.exotic.exoticpotion.silver,exotic silver potion,银灰合剂
items.potions.exotic.exoticpotion.unknown_desc,"This round flask contains a grainy colorful liquid. It seems to be foreign to this land, who knows what it might do when drunk or thrown?",这口圆底瓶里装着些有沉淀物的彩色液体。它似乎并不属于这个世界，谁知道饮用或投掷它时会有什么效果呢？
items.potions.exotic.exoticpotion.warning,Do you really want to cancel this potion usage? It will be consumed anyway.,你真的想终止这瓶药剂的使用？它仍会被消耗掉。
items.potions.exotic.exoticpotion.yes,"Yes, I'm positive",是的，我确定
items.potions.exotic.exoticpotion.no,"No, I changed my mind",不，我改变主意了
items.potions.exotic.potionofcleansing.name,potion of cleansing,全面净化合剂
items.potions.exotic.potionofcleansing.desc,This powerful reagent will render the drinker immune to all harmful effects for a few turns when quaffed. It can be thrown at a target to cleanse them as well.,当这种合剂被饮用时，它可以令饮用者短时间内对所有的负面状态免疫。它同样可以被扔向某个单位来驱散该单位的异常状态。
items.potions.exotic.potionofcleansing$cleanse.name,cleansed,全面净化
items.potions.exotic.potionofcleansing$cleanse.desc,"This character is temporarily immune to all harmful effects!\n\nTurns remaining: %s.","这个角色暂时对所有的负面效应免疫！\n\n剩余时长：%s"
items.potions.exotic.potionofcorrosivegas.name,potion of corrosive gas,腐蚀酸雾合剂
items.potions.exotic.potionofcorrosivegas.desc,"Uncorking or shattering this pressurized glass will cause its contents to explode into a deadly cloud of corrosive rust-colored gas. The gas spreads more quickly than toxic gas and is more deadly, but also won't last as long.",打开或摔碎这个密封的药瓶将导致内容物爆发成一团强腐蚀性的锈色酸雾。这种酸雾的扩散速度与致命性都远超毒气。不过稳定性较差，不能在空气中存留太久。
items.potions.exotic.potionofdragonsbreath.name,potion of dragon's breath,火龙吐息合剂
items.potions.exotic.potionofdragonsbreath.prompt,Choose a location to burn,选择要灼烧的位置
items.potions.exotic.potionofdragonsbreath.desc,This flask contains an unusual compound which bursts into flame shortly after mixing with saliva. Quickly spitting the liquid will allow the user to spew flame from their mouth!,瓶子内奇特的化合物会在接触口腔后爆燃。迅速吐出液体就能让使用者从口中喷射火焰！
items.potions.exotic.potionofearthenarmor.name,potion of earthen armor,大地护甲合剂
items.potions.exotic.potionofearthenarmor.desc,"Rather than paralyze, this liquid has a hardening effect on the skin which will turn it into temporary natural armor.",与麻痹药剂不同的是，饮用这瓶合剂能够使使用者的皮肤硬化，在一段时间内形成一道天然护甲。
items.potions.exotic.potionofdivineinspiration.name,potion of divine inspiration,神意启发合剂
items.potions.exotic.potionofdivineinspiration.no_more_points,You can't gain any more bonus talent points.,你无法再获得更多的额外天赋点了。
items.potions.exotic.potionofdivineinspiration.select_tier,Select a talent tier to gain two bonus points in. You must have unlocked the tier to be able to spend the points.,选择一个天赋以获得两个额外点数。该天赋所在的层阶必须已被解锁。
items.potions.exotic.potionofdivineinspiration.bonus,+2 Talent Points!,天赋点+2！
items.potions.exotic.potionofdivineinspiration.desc,"The power of holy energy reduced to liquid form, this draught will imbue the drinker with divine power, granting them two bonus talent points in a tier of their choosing.\n\nThis potion can only be used once for each talent tier.","这股神圣的力量会化作液态，灌注进饮用者的身体，赋予其钟意的天赋两个额外天赋点。\n\n这种药剂对每一层天赋只能生效一次。"
items.potions.exotic.potionofmagicalsight.name,potion of magical sight,魔能透视合剂
items.potions.exotic.potionofmagicalsight.desc,"After drinking this, your senses will be briefly heightened to incredible levels, allowing you to see through walls in a 12 tile radius!",饮用这瓶合剂后，你的五感将被提高到一种无法想象的地步，使你能看穿12格以内的墙壁，洞察藏在墙后的事物！
items.potions.exotic.potionofmastery.name,potion of mastery,肌肉记忆合剂
items.potions.exotic.potionofmastery.prompt,Master an Item,精通一件物品
items.potions.exotic.potionofmastery.weapon_easier,Your weapon becomes easier to wield!,你的武器变得前所未有的顺手！
items.potions.exotic.potionofmastery.armor_easier,Your armor becomes easier to wear!,你的护甲变得前所未有的合身！
items.potions.exotic.potionofmastery.desc,"Rather than granting raw strength, this potion will instead attune the muscles of the user to a particular item. This will make that item easier to use, as if the drinker had practised with it and built muscle memory.\n\nThe chosen weapon or armor will require 2 less strength to use. This potion can only be used once on each item.","这个合剂不会直接增强你的力量，但却会为你建立使用特定物品的肌肉记忆。使你对其的运用更加得心应手，仿佛已经练习了千百遍。\n\n所选武器或护甲所需要的力量减少2点。此合剂在每个物品上只能使用一次。"
items.potions.exotic.potionofshielding.name,potion of shielding,奥术护盾合剂
items.potions.exotic.potionofshielding.desc,"Rather than heal, this potion will instead project a durable shield around the user's body, blocking a considerable amount of damage.",与治疗药剂不同的是，饮用这瓶合剂能够使周身被护盾环绕，抵挡所受到的伤害。
items.potions.exotic.potionofshroudingfog.name,potion of shrouding fog,暗夜迷雾合剂
items.potions.exotic.potionofshroudingfog.desc,"When exposed to air, the liquid in this flask will produce a thick smoky fog which quickly spreads and blocks the vision of your enemies.",瓶中的液体遇到空气就会迅速爆发出一团能完全阻挡敌人视线的浓雾。
items.potions.exotic.potionofsnapfreeze.name,potion of snap freeze,极速冰冻合剂
items.potions.exotic.potionofsnapfreeze.desc,"The chemical contained in this potion will rapidly react with the air, instantly freezing and rooting all within its effect.",一旦暴露在空气里，这种化学混合物会瞬间冻结并缠绕范围内一切对象。
items.potions.exotic.potionofstamina.name,potion of stamina,精力回复合剂
items.potions.exotic.potionofstamina.desc,"Drinking this oddly sweet liquid will imbue you with a long-lasting boost of energy, allowing you to run at a quickened pace for an extended period of time.",喝下这甜到掉牙的奇怪液体后，体内会爆发一股巨大的能量，让你可以在长时间内飞速奔跑。
items.potions.exotic.potionofstormclouds.name,potion of storm clouds,暴风骤雨合剂
items.potions.exotic.potionofstormclouds.desc,"Throwing this potion will create a quickly-spreading cloud of concentrated vapor, which will condense and pour down onto the environment. Most terrain will be converted to water, fiery enemies will take damage, fire will be doused, and traps will be overwhelmed and break.",这瓶合剂被丢出后会形成一团快速膨胀的浓厚水汽，并迅速凝结为雨水降下。受雨水覆盖的大部分地形都会变为水潭，火焰会熄灭，火属性敌人会受到伤害，陷阱也会淹毁。
items.quest.ceremonialcandle.name,ceremonial candle,仪式蜡烛
items.quest.ceremonialcandle.desc,"A set of candles, melted down and fused together through use.\n\nAlone they are worthless, but used with other candles in a pattern, they can focus the energy for a summoning ritual.","一套配套的蜡烛，在使用中融化在了一起。\n\n单独看来它们毫无价值，但与其它蜡烛按特定排布共用时却能为召唤仪式聚集能量。"
items.quest.corpsedust.name,corpse dust,尸尘
items.quest.corpsedust.chill,A chill runs down your spine.,一股寒意穿透了你的脊背。
items.quest.corpsedust.desc,"The ball of corpse dust doesn't differ outwardly from a regular dust ball. But you can feel a malevolent energy lurking within it.\n\nGetting rid of it as soon as possible would be a good idea.","在外观上这团尸尘和普通灰尘差不多。而你却能够感受到其中潜伏着一股充满恶意的魔力。\n\n尽快脱手为好。"
items.quest.darkgold.name,dark gold ore,暗金矿
items.quest.darkgold.you_now_have,You now have %d dark gold ore.,你现在拥有%d个暗金矿。
items.quest.darkgold.desc,"This metal is called dark not because of its color (it doesn't differ from the normal gold), but because it melts under the daylight, making it useless on the surface.",这种金属名中的暗并非源于其色泽(它看起来和普通黄金一样)，而是因为它会在阳光下熔化，令其在地表上毫无用处。
items.quest.dwarftoken.name,dwarf token,矮人徽记
items.quest.dwarftoken.desc,Many dwarves and some of their larger creations carry these small pieces of metal of unknown purpose. Maybe they are jewelry or maybe some kind of ID. Dwarves are strange folk.,很多矮人和他们的造物都携带着这种小块金属，理由不详。兴许它是装饰物或什么身份识别牌。矮人都挺奇怪的。
items.quest.embers.name,elemental embers,元素余烬
items.quest.embers.desc,Special embers which can only be harvested from young fire elementals. They radiate thermal energy.,只能从新生火焰元素身上采集到的特殊余烬.。它们散发着温暖的能量。
items.quest.gooblob.name,blob of goo,粘咕球
